ds,y
0,15
86400,16
172800,15
259200,14
345600,15
432000,15
518400,16
604800,14
691200,15
777600,15
864000,15
950400,14
1036800,16
1123200,14
1209600,14
1296000,14
1382400,14
1468800,15
1555200,13
1641600,15
1728000,14
1814400,15
1900800,14
1987200,15
2073600,14
2160000,14
2246400,14
2332800,13
2419200,16
2505600,15
2592000,16
2678400,12
2764800,13
2851200,14
2937600,17
3024000,16
3110400,17
3196800,16
3283200,17
3369600,17
3456000,16
3542400,18
3628800,17
3715200,17
3801600,16
3888000,17
3974400,16
4060800,15
4147200,16
4233600,17
4320000,17
4406400,16
4492800,16
4579200,16
4665600,17
4752000,15
4838400,16
4924800,16
5011200,17
5097600,16
5184000,16
5270400,16
5356800,17
5443200,16
5529600,17
5616000,16
5702400,17
5788800,18
5875200,17
5961600,18
6048000,17
6134400,17
6220800,17
6307200,17
6393600,17
6480000,18
6566400,17
6652800,17
6739200,17
6825600,39
6912000,36
6998400,36
7084800,39
7171200,34
7257600,34
7344000,36
7430400,19
7516800,19
7603200,31
7689600,39
7776000,21
7862400,42
7948800,33
8035200,34
8121600,36
8208000,36
8294400,29
8380800,36
8467200,37
8553600,32
8640000,37
8726400,35
8812800,41
8899200,18
8985600,27
9072000,37
9158400,19
9244800,35
9331200,39
9417600,36
9504000,39
9590400,39
9676800,41
9763200,34
9849600,32
9936000,35
10022400,32
10108800,34
10195200,37
10281600,39
10368000,39
10454400,37
10540800,19
10627200,34
10713600,33
10800000,36
10886400,40
10972800,33
11059200,35
11145600,32
11232000,18
11318400,21
11404800,18
11491200,35
11577600,34
11664000,25
11750400,34
11836800,40
11923200,24
12009600,30
12096000,18
12182400,31
12268800,30
12355200,27
12441600,28
12528000,30
12614400,34
12700800,26
12787200,20
12873600,41
12960000,19
13046400,26
13132800,34
13219200,32
13305600,18
13392000,19
13478400,25
13564800,32
13651200,19
13737600,19
13824000,20
13910400,30
13996800,18
14083200,19
14169600,29
14256000,29
14342400,18
14428800,29
14515200,27
14601600,30
14688000,28
14774400,21
14860800,22
14947200,20
15033600,20
15120000,20
15206400,22
15292800,22
15379200,22
15465600,20
15552000,20
15638400,19
15724800,19
15811200,21
15897600,21
15984000,20
16070400,20
16156800,20
16243200,22
16329600,22
16416000,18
16502400,21
16588800,22
16675200,21
16761600,20
16848000,18
16934400,18
17020800,18
17107200,18
17193600,18
17280000,18
17366400,19
17452800,18
17539200,19
17625600,20
17712000,21
17798400,19
17884800,19
17971200,20
18057600,19
18144000,20
18230400,18
18316800,18
18403200,18
18489600,21
18576000,21
18662400,20
18748800,20
18835200,21
18921600,21
19008000,21
19094400,21
19180800,21
19267200,23
19353600,23
19440000,21
19526400,22
19612800,24
19699200,24
19785600,21
19872000,24
19958400,20
20044800,21
20131200,23
20217600,23
20304000,23
20390400,25
20476800,24
20563200,20
20649600,25
20736000,21
20822400,21
20908800,21
20995200,25
21081600,42
21168000,27
21254400,43
21340800,42
21427200,28
21513600,44
21600000,43
21686400,26
21772800,28
21859200,41
21945600,25
22032000,26
22118400,29
22204800,29
22291200,25
22377600,25
22464000,28
22550400,33
22636800,41
22723200,41
22809600,42
22896000,47
22982400,45
23068800,57
23155200,27
23241600,25
23328000,26
23414400,27
23500800,50
23587200,47
23673600,46
23760000,48
23846400,48
23932800,48
24019200,48
24105600,50
24192000,48
24278400,65
24364800,70
24451200,57
24537600,49
24624000,51
24710400,51
24796800,51
24883200,50
24969600,52
25056000,51
25142400,52
25228800,53
25315200,67
25401600,54
25488000,64
25574400,58
25660800,56
25747200,56
25833600,55
25920000,64
26006400,58
26092800,58
26179200,15
26265600,14
26352000,14
26438400,15
26524800,15
26611200,15
26697600,15
26784000,14
26870400,14
26956800,14
27043200,15
27129600,15
27216000,15
27302400,13
27388800,15
27475200,15
27561600,16
27648000,15
27734400,15
27820800,14
27907200,15
27993600,14
28080000,14
28166400,15
28252800,14
28339200,15
28425600,16
28512000,15
28598400,15
28684800,16
28771200,15
28857600,15
28944000,16
29030400,15
29116800,14
29203200,15
29289600,17
29376000,16
29462400,16
29548800,17
29635200,16
29721600,16
29808000,16
29894400,17
29980800,17
30067200,17
30153600,17
30240000,16
30326400,16
30412800,16
30499200,17
30585600,16
30672000,17
30758400,15
30844800,17
30931200,14
31017600,16
31104000,16
31190400,18
31276800,17
31363200,17
31449600,16
31536000,17
31622400,18
31708800,17
31795200,18
31881600,17
31968000,17
32054400,17
32140800,19
32227200,17
32313600,17
32400000,16
32486400,17
32572800,17
32659200,33
